Instancia,Inicial,Iteraciones,ItEfectivas,CantMemoria,PorcentajeVecindad,Aspirar,Tabu,Algoritmo,Time,Impacto,Optimo,N,Gap
CMI_n20.in,S-LF,300,300,5,20,True,TSS-E,TSS-E-S-LF,3513.12,11,25,20,0.56
CMI_n20.in,S-LF,300,300,5,20,False,TSS-E,TSS-E-S-LF,3582.6,11,25,20,0.56
CMI_n20.in,S-LF,300,24,20,20,True,TSS-E,TSS-E-S-LF,350.662,11,25,20,0.56
CMI_n20.in,S-LF,300,24,20,20,False,TSS-E,TSS-E-S-LF,351.491,11,25,20,0.56
CMI_n20.in,S-LF,300,24,35,20,True,TSS-E,TSS-E-S-LF,332.94800000000004,11,25,20,0.56
CMI_n20.in,S-LF,300,24,35,20,False,TSS-E,TSS-E-S-LF,361.276,11,25,20,0.56
CMI_n20.in,S-LF,300,24,50,20,True,TSS-E,TSS-E-S-LF,353.706,11,25,20,0.56
CMI_n20.in,S-LF,300,24,50,20,False,TSS-E,TSS-E-S-LF,391.378,11,25,20,0.56
CMI_n20.in,S-LF,300,24,100,20,True,TSS-E,TSS-E-S-LF,358.763,11,25,20,0.56
CMI_n20.in,S-LF,300,24,100,20,False,TSS-E,TSS-E-S-LF,348.008,11,25,20,0.56
CMI_n20.in,S-LF,300,24,200,20,True,TSS-E,TSS-E-S-LF,461.33000000000004,11,25,20,0.56
CMI_n20.in,S-LF,300,24,200,20,False,TSS-E,TSS-E-S-LF,363.79299999999995,11,25,20,0.56
CMI_n20.in,S-LF,300,24,300,20,True,TSS-E,TSS-E-S-LF,382.688,11,25,20,0.56
CMI_n20.in,S-LF,300,24,300,20,False,TSS-E,TSS-E-S-LF,358.146,11,25,20,0.56
CMI_n20.in,S-LF,500,500,5,20,True,TSS-E,TSS-E-S-LF,6514.34,11,25,20,0.56
CMI_n20.in,S-LF,500,500,5,20,False,TSS-E,TSS-E-S-LF,5826.85,11,25,20,0.56
CMI_n20.in,S-LF,500,24,20,20,True,TSS-E,TSS-E-S-LF,372.896,11,25,20,0.56
CMI_n20.in,S-LF,500,24,20,20,False,TSS-E,TSS-E-S-LF,366.787,11,25,20,0.56
CMI_n20.in,S-LF,500,24,35,20,True,TSS-E,TSS-E-S-LF,371.216,11,25,20,0.56
CMI_n20.in,S-LF,500,24,35,20,False,TSS-E,TSS-E-S-LF,394.23900000000003,11,25,20,0.56
CMI_n20.in,S-LF,500,24,50,20,True,TSS-E,TSS-E-S-LF,341.48699999999997,11,25,20,0.56
CMI_n20.in,S-LF,500,24,50,20,False,TSS-E,TSS-E-S-LF,369.757,11,25,20,0.56
CMI_n20.in,S-LF,500,24,100,20,True,TSS-E,TSS-E-S-LF,361.829,11,25,20,0.56
CMI_n20.in,S-LF,500,24,100,20,False,TSS-E,TSS-E-S-LF,533.27,11,25,20,0.56
CMI_n20.in,S-LF,500,24,200,20,True,TSS-E,TSS-E-S-LF,354.622,11,25,20,0.56
CMI_n20.in,S-LF,500,24,200,20,False,TSS-E,TSS-E-S-LF,441.553,11,25,20,0.56
CMI_n20.in,S-LF,500,24,300,20,True,TSS-E,TSS-E-S-LF,411.055,11,25,20,0.56
CMI_n20.in,S-LF,500,24,300,20,False,TSS-E,TSS-E-S-LF,373.65999999999997,11,25,20,0.56
CMI_n20.in,S-LF,500,24,400,20,True,TSS-E,TSS-E-S-LF,455.096,11,25,20,0.56
CMI_n20.in,S-LF,500,24,400,20,False,TSS-E,TSS-E-S-LF,446.472,11,25,20,0.56
CMI_n20.in,S-LF,500,24,500,20,True,TSS-E,TSS-E-S-LF,383.563,11,25,20,0.56
